filename,mae_mse,mae_vgg,mae_resnet
AnhHungNguyenTrungTruc_Ep02_2012_00174.jpg,6.5308647,7.9702516,6.5652504
AnhHungNguyenTrungTruc_Ep02_2012_00177.jpg,6.5548205,7.6014495,7.8002167
AnhHungNguyenTrungTruc_Ep02_2012_00190.jpg,4.6148157,5.345617,4.6990857
AnhHungNguyenTrungTruc_Ep02_2012_00200.jpg,4.1048975,4.876309,4.1672845
AnhHungNguyenTrungTruc_Ep02_2012_00211.jpg,4.4959807,5.124256,4.212379
AnhHungNguyenTrungTruc_Ep02_2012_00225.jpg,7.076524,8.986487,7.089392
AnhHungNguyenTrungTruc_Ep02_2012_00227.jpg,3.7620442,5.049572,4.538478
AnhHungNguyenTrungTruc_Ep02_2012_00241.jpg,4.065536,6.661219,4.547845
AnhHungNguyenTrungTruc_Ep02_2012_00247.jpg,4.3064613,3.7961178,3.9225726
AnhHungNguyenTrungTruc_Ep02_2012_00287.jpg,3.5614903,3.8273544,4.1667466
AnhHungNguyenTrungTruc_Ep02_2012_00296.jpg,5.039308,6.48488,5.991071
AnhHungNguyenTrungTruc_Ep02_2012_00300.jpg,5.465601,6.0914316,6.198687
AnhHungNguyenTrungTruc_Ep02_2012_00333.jpg,4.6383395,5.3280916,4.9584794
AnhHungNguyenTrungTruc_Ep02_2012_00340.jpg,5.1946616,5.4459305,4.928691
AnhHungNguyenTrungTruc_Ep02_2012_00345.jpg,4.6292515,4.9745626,4.8421755
AnhHungNguyenTrungTruc_Ep02_2012_00347.jpg,4.9116044,5.4750347,4.7032514
AnhHungNguyenTrungTruc_Ep02_2012_00350.jpg,4.576763,4.998957,4.6961894
AnhHungNguyenTrungTruc_Ep02_2012_00358.jpg,4.7961044,4.9785423,5.24624
AnhHungNguyenTrungTruc_Ep02_2012_00369.jpg,3.3739438,3.462306,3.8668354
AnhHungNguyenTrungTruc_Ep02_2012_00370.jpg,3.7325547,3.6696162,3.7571483
AnhHungNguyenTrungTruc_Ep02_2012_00371.jpg,3.7681427,3.917238,3.811085
AnhHungNguyenTrungTruc_Ep02_2012_00376.jpg,6.3976336,4.750525,5.3143334
AnhHungNguyenTrungTruc_Ep02_2012_00379.jpg,4.8679185,4.9391274,5.169085
AnhHungNguyenTrungTruc_Ep02_2012_00384.jpg,13.101496,16.17507,13.690144
AnhHungNguyenTrungTruc_Ep02_2012_00399.jpg,6.9369354,7.2579255,7.3257203
AnhHungNguyenTrungTruc_Ep02_2012_00425.jpg,5.2737565,4.5186543,5.2309804
AnhHungNguyenTrungTruc_Ep02_2012_00440.jpg,8.838336,11.073309,12.426857
AnhHungNguyenTrungTruc_Ep02_2012_00441.jpg,11.649315,11.672951,12.023989
AnhHungNguyenTrungTruc_Ep02_2012_00443.jpg,6.9282393,8.539548,7.5946603
AnhHungNguyenTrungTruc_Ep02_2012_00454.jpg,8.530061,9.6734295,10.2104
AnhHungNguyenTrungTruc_Ep02_2012_00469.jpg,5.18267,8.258138,6.8477893
AnhHungNguyenTrungTruc_Ep02_2012_00479.jpg,5.729273,7.890884,6.884719
AnhHungNguyenTrungTruc_Ep02_2012_00485.jpg,8.165418,9.333984,8.439825
AnhHungNguyenTrungTruc_Ep02_2012_00500.jpg,4.348254,5.4539356,4.5542226
AnhHungNguyenTrungTruc_Ep02_2012_00501.jpg,2.4122157,2.9856238,2.5433939
AnhHungNguyenTrungTruc_Ep02_2012_00522.jpg,2.4097443,2.9056919,2.4169657
AnhHungNguyenTrungTruc_Ep02_2012_00526.jpg,4.5848017,5.4751472,4.777683
AnhHungNguyenTrungTruc_Ep02_2012_00548.jpg,2.5861435,3.167889,2.7039354
AnhHungNguyenTrungTruc_Ep02_2012_00554.jpg,2.5149608,2.6268334,2.3531835
AnhHungNguyenTrungTruc_Ep02_2012_00556.jpg,9.11536,9.228376,8.685361
AnhHungNguyenTrungTruc_Ep02_2012_00573.jpg,4.025251,5.283708,4.392884
